date,BTC,ETH,LTC,XRP,ADA,AAPL,MSFT,AMZN,TSLA,GOOGL
00:00.0,15976.36519,978.4161042,244.8343724,3.22005,1.179347015,173.03,87.11,1209.59,314.62,1095.76
00:00.0,18336.92298,1004.894972,254.1385251,2.93138,1.077821184,175,88.19,1229.14,316.58,1110.29
00:00.0,18343.66249,1052.02336,289.9300334,3.09163,1.093780172,,,,,
00:00.0,17039.87391,1137.654919,278.9759817,3.39845,1.052853681,,,,,
00:00.0,15900.36502,1184.92393,263.7463834,2.4485,0.941899932,174.35,88.28,1246.87,336.41,1114.21
00:00.0,15604.72341,1361.439668,258.7199646,2.14126,0.86620154,174.33,88.22,1252.7,333.69,1112.79
00:00.0,15509.27013,1345.587602,253.7921714,1.95614,0.816441706,174.29,87.82,1254.33,334.8,1110.14
00:00.0,14050.56961,1181.65141,233.3433472,1.93361,0.727461729,175.28,88.08,1276.68,337.95,1112.05
00:00.0,14759.29463,1315.618758,246.1918865,2.02577,0.962328642,177.09,89.6,1305.2,336.22,1130.65
00:00.0,15193.3149,1448.180086,268.3681153,2.0225,0.937907186,,,,,
00:00.0,14476.58897,1410.000215,247.801155,1.86561,0.841889527,,,,,
00:00.0,14411.99771,1329.671397,241.1518061,1.66706,0.822404074,,,,,
00:00.0,11723.91352,1068.600411,189.4731284,1.19515,0.638217739,176.19,88.35,1304.86,340.06,1130.7
00:00.0,11415.39284,1022.365213,188.9409013,1.29116,0.649567161,179.1,90.14,1295,347.16,1139.1
00:00.0,11569.42499,1036.072313,194.7553386,1.61161,0.671356127,179.26,90.1,1293.32,344.57,1135.97
00:00.0,11758.46933,1046.898597,194.5835014,1.54157,0.665751451,178.46,90,1294.58,350.02,1143.5
00:00.0,13260.27119,1172.917206,214.4069155,1.58205,0.734000935,,,,,
00:00.0,11703.50486,1053.633202,191.5864762,1.38127,0.629033082,,,,,
00:00.0,10991.59501,1000.387133,179.9210584,1.30411,0.581351169,177,91.61,1327.31,351.56,1164.16
00:00.0,10894.00091,991.6653206,178.0421117,1.34234,0.564850862,177.04,91.9,1362.54,352.79,1176.17
00:00.0,11277.11597,1056.879233,178.9696125,1.33309,0.624877633,174.22,91.82,1357.51,345.89,1171.29
00:00.0,11225.25446,1059.315496,179.0631438,1.30965,0.639638327,171.11,92.33,1377.95,337.64,1182.14
00:00.0,11044.90724,1048.798906,175.061498,1.21336,0.620601025,171.51,94.06,1402.05,342.85,1187.56
00:00.0,11456.21351,1095.782514,179.6483041,1.23119,0.625463722,,,,,
00:00.0,11665.69693,1237.324176,191.9302771,1.41666,0.630576366,,,,,
00:00.0,11157.66389,1169.634257,179.2810953,1.31967,0.592470718,167.96,93.92,1417.68,349.53,1186.48
00:00.0,,,,,,166.97,92.74,1437.82,345.82,1177.37
05:11.1,,1161.908643,,,,,,,,
05:14.4,,,,1.31231,,,,,,
05:18.7,11095.21069,,,,,,,,,
05:19.5,,,177.688529,,,,,,,
05:21.1,,,,,0.587949207,,,,,
00:00.0,9989.689777,1058.096053,163.5329348,1.13747,0.501716569,167.43,95.01,1450.89,354.31,1182.22
00:00.0,10114.49509,1106.138172,161.4074061,1.14397,0.49946191,167.78,94.26,1390,349.25,1181.59
00:00.0,9070.555449,1021.269379,141.661682,0.958196,0.411920052,160.5,91.78,1429.95,343.75,1119.2
00:00.0,8830.16351,914.6388425,131.3843786,0.896766,0.399902847,,,,,
00:00.0,8994.914866,941.8032295,154.2583658,0.919951,0.448042725,,,,,
00:00.0,8315.517491,834.8891703,150.9313657,0.840231,0.395065099,156.49,88,1390,333.13,1062.39
00:00.0,6852.052701,684.3133397,122.6449059,0.692773,0.310011618,163.03,91.33,1442.84,333.97,1084.43
00:00.0,7711.220329,785.7389155,142.4393322,0.779269,0.359975823,159.54,89.61,1416.78,345,1055.41
00:00.0,,,,,,155.15,85.01,1350.5,315.23,1007.71
05:12.9,,,,0.732428,,,,,,
05:18.9,,,,,0.330254868,,,,,
05:23.7,,751.8878894,,,,,,,,
05:28.2,7611.610278,,,,,,,,,
05:28.3,,,137.9204765,,,,,,,
00:00.0,8208.572084,807.8227505,148.4194856,0.777794,0.34237167,156.41,88.18,1339.6,310.42,1046.27
00:00.0,8650.71675,871.3268829,161.6947813,0.929139,0.377246007,,,,,
00:00.0,8574.677638,854.3498784,154.9247191,1.08609,0.384454868,,,,,
