date,BTC,ETH,BNB,XRP,ADA
8/05/2018,9308.265026,748.8131414,13.68527861,0.831379309,0.334283331
9/05/2018,9149.517833,744.3248257,13.39634196,0.812258994,0.321817939
10/05/2018,9248.960396,743.6398157,14.55045538,0.800286274,0.315994257
11/05/2018,8969.940376,717.4128744,13.70827969,0.755570358,0.295295669
12/05/2018,8405.560563,675.2917525,12.9334535,0.686170545,0.261281099
13/05/2018,8480.580376,683.1702676,12.96616985,0.697820834,0.271200945
14/05/2018,8683.986203,726.8719105,13.11813555,0.745869887,0.285574292
15/05/2018,8696.974004,727.8026816,12.90486853,0.741709715,0.273944544
16/05/2018,8473.348649,703.1556815,12.56058815,0.69721612,0.259170403
17/05/2018,8343.125222,702.4531187,12.24937013,0.713593864,0.255964442
18/05/2018,8056.053192,665.6275313,12.47559157,0.667050118,0.243517485
19/05/2018,8202.82541,686.2132687,15.11812114,0.679514851,0.242257531
20/05/2018,8180.62701,685.846754,14.16274104,0.674030852,0.239781376
21/05/2018,8443.260246,703.8146666,14.00545131,0.697846572,0.254431909
22/05/2018,8354.996336,688.9132212,14.72969646,0.680221277,0.248061244
23/05/2018,8009.299507,641.1003511,13.86015043,0.645208614,0.22445223
24/05/2018,7556.316043,581.2411881,12.6297027,0.60119855,0.200758954
25/05/2018,7563.435465,597.8487719,13.00815741,0.631637623,0.208106292
26/05/2018,7472.022602,582.2793863,12.8866814,0.611722481,0.200867761
27/05/2018,7328.871674,580.4834598,12.73568295,0.612348939,0.196420055
28/05/2018,7326.64394,565.9260648,12.56659476,0.606655974,0.193424143
29/05/2018,7111.068925,511.6158804,11.80810558,0.55189307,0.174819818
30/05/2018,7451.230837,561.7406615,12.56755971,0.601478974,0.203218529
31/05/2018,7380.851558,555.349151,12.54238006,0.605363379,0.212016765
1/06/2018,7460.16695,571.7271135,14.16603503,0.613200146,0.224355812
2/06/2018,7487.076305,573.8335505,14.22961842,0.622789158,0.222009465
3/06/2018,7567.512938,583.1316392,14.53763042,0.641121983,0.226608778
4/06/2018,7639.879446,609.2946747,14.56681876,0.679120436,0.226439844
5/06/2018,7463.654996,586.575976,14.2142862,0.661893931,0.21371746
6/06/2018,7569.01134,600.678279,15.51641402,0.675837973,0.219339201
7/06/2018,7605.578489,598.2160985,17.15940076,0.673390369,0.215247804
8/06/2018,7613.777393,595.1261407,16.20269102,0.675446001,0.209225447
9/06/2018,7561.166101,590.4981452,16.14610467,0.672295267,0.204345647
10/06/2018,7415.001379,581.1212497,15.74731509,0.654282279,0.200104541
11/06/2018,6767.499485,522.9980387,14.10625148,0.585695519,0.177005565
12/06/2018,6880.133649,529.1308298,15.41722062,0.60488908,0.181012541
13/06/2018,6581.828075,495.0763559,15.28262746,0.563876868,0.16616143
14/06/2018,6334.098906,474.859113,14.64956599,0.53516235,0.16060084
15/06/2018,6644.72068,516.6441704,14.90543908,0.5603573,0.171712587
16/06/2018,6406.80705,485.4328365,15.04569998,0.534229405,0.162154315
17/06/2018,6478.815924,493.0678581,15.7344419,0.533846709,0.16235552
18/06/2018,6418.850002,491.400276,16.46197644,0.525608984,0.16021505
19/06/2018,6677.533403,512.4288525,16.85554439,0.53603666,0.163492392
20/06/2018,6708.68182,532.0039134,16.64586078,0.547988237,0.166645324
21/06/2018,6714.375461,529.7630466,16.01229751,0.537603888,0.161668763
22/06/2018,6690.832152,520.6671645,16.98151104,0.533660559,0.158308721
23/06/2018,6088.579442,463.9408287,15.65266547,0.48839541,0.140484884
24/06/2018,6169.437264,472.9772648,15.65316645,0.492234104,0.138783158
25/06/2018,6159.707194,455.7184306,14.47052994,0.477667451,0.13213536
26/06/2018,6241.848712,458.9258012,14.92082824,0.48138814,0.135157291
27/06/2018,6069.872606,430.6017844,14.13652079,0.455449593,0.126052895
28/06/2018,6117.03641,437.8765375,14.02881836,0.469691437,0.127005582
29/06/2018,5879.988974,420.8621242,13.88680361,0.449189688,0.119515126
30/06/2018,6182.256748,432.5072205,14.36068087,0.453132157,0.12512278
